login_hour,login_day,is_new_device,is_new_location,is_new_browser,failed_attempts_before,login_frequency,session_duration,typing_speed,mouse_entropy,pages_visited,actions_per_minute,time_since_last_login,is_vpn,country_change,device_type_encoded,hour_sin,hour_cos,is_hijacked
15,4,0,1,0,0,2.09,17.7,70.79,0.3945,11,8.73,19.05,1,0,0,-0.7071067811865471,-0.7071067811865479,0
8,0,0,1,0,0,2.45,49.25,50.02,0.3146,13,8.17,10.31,0,0,0,0.8660254037844387,-0.4999999999999998,0
2,6,0,0,0,1,2.04,27.87,37.47,0.5249,23,8.85,37.37,1,0,0,0.49999999999999994,0.8660254037844387,0
16,0,0,0,0,0,3.82,104.83,57.36,0.6269,28,8.11,25.6,1,0,1,-0.8660254037844385,-0.5000000000000004,0
6,1,0,0,1,1,4.41,75.92,39.22,0.5012,11,3.97,19.88,0,0,2,1.0,6.123233995736766e-17,0
11,0,0,0,0,0,2.07,23.42,65.78,0.4605,15,6.34,23.38,0,0,0,0.258819045102521,-0.9659258262890682,0
14,1,0,0,0,0,2.16,74.94,48.37,0.3242,10,9.0,18.57,0,0,1,-0.4999999999999997,-0.8660254037844388,0
16,0,0,0,0,0,0.84,112.8,64.51,0.414,11,9.62,23.74,0,0,0,-0.8660254037844385,-0.5000000000000004,0
3,1,0,0,0,0,2.67,113.47,69.6,0.6299,5,3.69,20.59,0,0,1,0.7071067811865476,0.7071067811865476,0
18,5,1,1,0,3,0.62,14.15,46.99,0.0492,2,43.62,478.17,0,1,2,-1.0,-1.8369701987210297e-16,1
2,3,1,1,1,4,0.19,6.26,61.21,0.0235,4,31.76,385.99,1,1,1,0.49999999999999994,0.8660254037844387,1
14,1,0,0,0,0,4.84,75.96,46.71,0.3394,22,2.98,17.21,0,0,1,-0.4999999999999997,-0.8660254037844388,0
17,6,0,0,0,0,2.9,6.04,57.44,0.4221,21,4.48,42.7,0,0,1,-0.9659258262890683,-0.25881904510252063,0
14,6,0,0,1,1,2.1,55.22,36.09,0.5586,30,5.49,9.54,0,0,0,-0.4999999999999997,-0.8660254037844388,0
21,5,0,0,1,0,3.57,85.15,35.89,0.4481,19,7.27,36.22,0,0,1,-0.7071067811865477,0.7071067811865474,0
16,5,0,0,0,0,2.38,5.53,65.59,0.6748,28,4.27,43.98,0,0,0,-0.8660254037844385,-0.5000000000000004,0
4,0,0,0,0,2,0.61,28.65,70.19,0.3171,9,3.32,4.29,0,0,0,0.8660254037844386,0.5000000000000001,0
4,1,1,1,0,2,0.68,3.68,79.92,0.1034,3,26.13,316.66,1,0,1,0.8660254037844386,0.5000000000000001,1
1,3,1,1,1,2,0.99,3.29,64.13,0.2029,4,17.37,130.53,0,1,0,0.25881904510252074,0.9659258262890683,1
9,1,0,1,0,0,2.71,55.67,38.56,0.5437,29,5.99,6.57,0,0,0,0.7071067811865476,-0.7071067811865475,0
11,6,0,0,0,0,1.86,26.1,47.48,0.3101,11,2.74,30.73,0,0,1,0.258819045102521,-0.9659258262890682,0
10,5,0,0,0,0,4.91,60.25,34.52,0.3661,10,4.62,17.63,0,0,1,0.49999999999999994,-0.8660254037844387,0
22,2,1,1,0,2,0.24,13.04,69.59,0.0729,3,29.12,436.6,1,1,1,-0.5000000000000004,0.8660254037844384,1
14,3,0,0,0,0,1.92,39.57,66.06,0.4269,26,5.89,41.46,0,0,0,-0.4999999999999997,-0.8660254037844388,0
17,2,0,0,1,0,2.67,59.53,61.16,0.4388,27,4.24,34.92,0,0,2,-0.9659258262890683,-0.25881904510252063,0
12,0,0,0,0,0,2.44,22.93,76.08,0.3143,26,6.9,26.7,0,0,1,1.2246467991473532e-16,-1.0,0
12,0,0,0,0,0,1.06,61.41,58.87,0.3971,18,8.87,38.28,0,0,1,1.2246467991473532e-16,-1.0,0
19,2,0,0,0,0,2.63,89.5,57.24,0.4098,14,7.44,16.54,0,0,0,-0.9659258262890684,0.2588190451025203,0
5,6,1,1,1,2,0.45,4.17,142.03,0.2727,3,21.33,339.4,1,1,0,0.9659258262890683,0.25881904510252074,1
15,4,0,0,1,1,0.97,87.76,33.29,0.3445,29,9.56,27.0,0,0,1,-0.7071067811865471,-0.7071067811865479,0
20,3,0,0,1,0,4.87,35.18,69.01,0.6538,8,4.36,24.39,0,0,0,-0.8660254037844386,0.5000000000000001,0
15,6,0,0,0,0,1.22,70.7,47.27,0.3728,27,9.89,36.28,0,0,1,-0.7071067811865471,-0.7071067811865479,0
2,0,1,1,1,0,0.53,1.12,124.77,0.256,5,26.79,379.63,1,1,0,0.49999999999999994,0.8660254037844387,1
19,4,0,0,0,2,2.65,15.43,63.23,0.6163,9,7.2,12.11,0,0,1,-0.9659258262890684,0.2588190451025203,0
16,4,0,0,0,0,1.83,107.01,57.99,0.3627,4,5.37,41.31,1,0,1,-0.8660254037844385,-0.5000000000000004,0
20,5,0,1,0,0,0.7,80.61,43.9,0.6561,15,7.82,40.09,0,0,0,-0.8660254037844386,0.5000000000000001,0
5,3,1,1,1,0,0.66,6.68,12.68,0.1519,1,19.42,170.41,0,0,0,0.9659258262890683,0.25881904510252074,1
17,4,0,0,0,0,2.98,117.48,78.13,0.6578,18,4.57,34.33,0,0,1,-0.9659258262890683,-0.25881904510252063,0
13,6,0,0,0,0,0.8,84.61,70.8,0.5771,7,5.18,32.52,0,0,0,-0.2588190451025208,-0.9659258262890683,0
7,2,0,0,0,2,4.25,78.13,63.12,0.6191,11,2.92,36.24,0,0,2,0.9659258262890683,-0.25881904510252063,0
17,5,0,0,0,0,4.78,10.06,41.25,0.4688,9,3.93,30.02,0,0,1,-0.9659258262890683,-0.25881904510252063,0
17,4,0,0,0,0,0.5,83.97,51.83,0.6796,8,9.63,43.15,0,0,0,-0.9659258262890683,-0.25881904510252063,0
8,6,0,0,0,0,0.74,70.92,78.99,0.6814,25,5.92,29.03,0,0,1,0.8660254037844387,-0.4999999999999998,0
6,5,0,0,0,0,4.19,103.72,49.4,0.4324,19,1.18,37.23,0,0,1,1.0,6.123233995736766e-17,0
18,2,0,1,0,0,2.34,86.34,60.35,0.5118,30,8.92,41.65,0,0,0,-1.0,-1.8369701987210297e-16,0
16,3,0,1,0,0,2.56,100.63,38.21,0.5436,29,3.07,40.1,0,0,1,-0.8660254037844385,-0.5000000000000004,0
23,0,0,0,0,0,0.78,73.97,47.83,0.319,29,7.42,28.51,0,0,1,-0.25881904510252157,0.9659258262890681,0
11,6,0,0,0,0,2.44,32.64,73.48,0.405,24,7.31,18.19,0,0,0,0.258819045102521,-0.9659258262890682,0
14,1,0,0,0,1,1.37,46.2,40.92,0.5389,25,8.85,21.41,0,0,1,-0.4999999999999997,-0.8660254037844388,0
22,0,0,0,0,0,4.15,42.82,31.44,0.6203,26,8.49,6.31,0,0,0,-0.5000000000000004,0.8660254037844384,0
21,5,0,1,0,0,0.56,49.6,79.27,0.5087,15,3.91,28.2,0,0,0,-0.7071067811865477,0.7071067811865474,0
1,3,0,0,0,0,1.16,66.92,79.35,0.3186,14,4.91,10.84,0,0,0,0.25881904510252074,0.9659258262890683,0
8,0,0,0,0,2,1.86,28.47,79.67,0.4549,13,9.3,36.31,0,0,0,0.8660254037844387,-0.4999999999999998,0
18,2,0,0,0,0,1.04,96.06,76.75,0.6765,27,3.62,10.96,0,0,0,-1.0,-1.8369701987210297e-16,0
11,5,0,0,0,0,2.91,34.73,77.85,0.4637,29,1.77,7.56,0,0,1,0.258819045102521,-0.9659258262890682,0
7,3,0,0,0,1,1.37,39.04,63.13,0.5226,4,8.01,22.01,0,0,1,0.9659258262890683,-0.25881904510252063,0
21,2,0,0,1,0,3.18,29.61,31.28,0.5286,19,8.95,35.37,0,0,1,-0.7071067811865477,0.7071067811865474,0
14,3,0,0,0,0,3.76,50.53,47.15,0.3291,20,7.9,38.16,0,0,1,-0.4999999999999997,-0.8660254037844388,0
14,0,0,0,0,0,2.25,98.26,33.67,0.5815,19,1.26,45.75,0,0,0,-0.4999999999999997,-0.8660254037844388,0
17,2,1,0,1,0,2.93,103.31,36.01,0.5737,20,5.87,19.86,1,0,1,-0.9659258262890683,-0.25881904510252063,0
4,4,1,1,1,0,0.55,9.08,108.22,0.1426,5,48.96,560.82,1,1,2,0.8660254037844386,0.5000000000000001,1
14,3,0,0,0,0,4.83,102.67,65.06,0.4893,7,6.61,11.92,0,0,0,-0.4999999999999997,-0.8660254037844388,0
3,5,1,1,1,2,0.42,3.25,98.62,0.2228,4,40.47,347.75,0,0,1,0.7071067811865476,0.7071067811865476,1
1,1,0,1,0,1,0.45,10.79,51.56,0.2319,4,28.98,180.43,0,1,0,0.25881904510252074,0.9659258262890683,1
20,4,1,0,0,0,2.17,5.09,65.55,0.5116,27,5.29,36.84,0,0,0,-0.8660254037844386,0.5000000000000001,0
8,1,1,0,1,1,2.5,22.48,69.26,0.6739,2,9.99,18.79,0,0,0,0.8660254037844387,-0.4999999999999998,0
10,6,0,0,0,2,4.83,5.69,68.29,0.4024,13,8.72,17.88,0,0,0,0.49999999999999994,-0.8660254037844387,0
11,1,0,0,0,0,1.84,55.39,49.44,0.6982,23,9.41,20.6,0,0,1,0.258819045102521,-0.9659258262890682,0
15,6,0,0,0,0,3.98,76.38,34.36,0.354,23,6.08,25.38,0,0,0,-0.7071067811865471,-0.7071067811865479,0
1,2,1,1,1,4,1.0,7.59,21.06,0.117,2,41.79,181.54,0,1,1,0.25881904510252074,0.9659258262890683,1
6,1,0,1,0,0,3.86,107.47,70.6,0.334,3,4.88,38.6,0,0,0,1.0,6.123233995736766e-17,0
22,1,0,0,1,0,3.17,47.45,54.15,0.5726,6,7.63,32.13,0,0,0,-0.5000000000000004,0.8660254037844384,0
11,2,0,0,0,0,2.62,39.09,78.02,0.3048,3,7.21,32.63,0,0,1,0.258819045102521,-0.9659258262890682,0
21,3,0,0,0,0,1.13,106.44,42.13,0.5586,21,6.91,20.45,0,0,0,-0.7071067811865477,0.7071067811865474,0
18,5,0,0,0,0,2.7,82.83,67.16,0.3094,11,5.44,0.64,0,0,0,-1.0,-1.8369701987210297e-16,0
18,3,0,0,1,0,3.72,85.25,39.6,0.3567,4,2.86,7.8,0,0,0,-1.0,-1.8369701987210297e-16,0
9,0,0,0,0,0,1.43,103.27,32.06,0.3223,11,9.59,6.25,0,0,0,0.7071067811865476,-0.7071067811865475,0
11,0,0,0,0,0,1.01,87.05,33.86,0.3918,8,9.81,37.74,0,0,1,0.258819045102521,-0.9659258262890682,0
15,2,0,0,0,0,4.45,23.08,51.68,0.6571,8,2.25,30.32,0,0,1,-0.7071067811865471,-0.7071067811865479,0
17,3,0,0,0,0,2.54,68.43,54.5,0.6411,9,2.34,35.75,0,0,2,-0.9659258262890683,-0.25881904510252063,0
8,6,0,0,0,0,4.19,46.6,65.41,0.5888,21,4.87,22.76,0,0,1,0.8660254037844387,-0.4999999999999998,0
14,2,0,0,1,0,1.74,109.5,76.35,0.3144,12,1.61,47.33,0,0,0,-0.4999999999999997,-0.8660254037844388,0
17,5,0,0,0,0,3.15,73.34,71.83,0.6892,25,3.07,39.36,0,0,2,-0.9659258262890683,-0.25881904510252063,0
13,4,0,0,0,0,2.99,95.12,69.3,0.3898,11,6.41,6.33,0,0,1,-0.2588190451025208,-0.9659258262890683,0
19,6,0,0,0,0,3.06,99.83,38.55,0.6069,25,2.86,14.99,0,0,0,-0.9659258262890684,0.2588190451025203,0
22,0,0,0,0,0,2.73,105.64,73.16,0.5965,11,4.6,1.45,0,0,0,-0.5000000000000004,0.8660254037844384,0
14,6,1,0,1,3,0.59,14.98,15.67,0.2062,3,35.18,254.54,1,1,2,-0.4999999999999997,-0.8660254037844388,1
13,4,0,1,0,0,4.95,51.29,54.06,0.3668,3,8.07,40.08,0,0,1,-0.2588190451025208,-0.9659258262890683,0
9,0,0,0,0,0,3.45,69.51,36.17,0.3108,22,6.26,44.7,0,0,2,0.7071067811865476,-0.7071067811865475,0
3,4,1,1,1,1,0.81,4.06,11.5,0.2267,3,40.08,136.47,0,1,2,0.7071067811865476,0.7071067811865476,1
14,0,0,0,0,0,2.33,51.7,79.72,0.3198,5,2.2,14.3,0,0,0,-0.4999999999999997,-0.8660254037844388,0
11,2,0,0,0,0,2.1,5.75,36.58,0.4435,8,3.57,34.34,0,0,1,0.258819045102521,-0.9659258262890682,0
16,0,0,0,0,1,3.45,90.76,71.01,0.6354,10,3.21,21.98,0,0,1,-0.8660254037844385,-0.5000000000000004,0
5,2,1,0,1,1,0.86,2.84,49.75,0.2992,1,19.06,469.64,1,0,1,0.9659258262890683,0.25881904510252074,1
16,3,0,0,0,0,1.49,66.81,54.3,0.4434,28,6.34,4.37,0,0,0,-0.8660254037844385,-0.5000000000000004,0
17,2,0,0,0,1,3.78,54.8,49.09,0.5444,27,1.54,5.35,0,0,1,-0.9659258262890683,-0.25881904510252063,0
23,4,0,0,0,0,4.41,22.63,78.2,0.428,12,5.62,42.67,0,0,1,-0.25881904510252157,0.9659258262890681,0
4,1,0,0,0,1,3.0,37.35,42.32,0.3917,26,1.29,8.78,0,0,1,0.8660254037844386,0.5000000000000001,0
17,6,1,1,1,3,0.44,13.58,50.42,0.1313,4,19.95,507.69,1,1,2,-0.9659258262890683,-0.25881904510252063,1
18,5,0,0,0,0,1.35,46.09,61.66,0.3044,17,5.94,39.58,0,0,1,-1.0,-1.8369701987210297e-16,0
2,6,1,1,1,2,0.96,4.3,111.99,0.1683,3,43.47,545.75,1,1,0,0.49999999999999994,0.8660254037844387,1
19,4,0,1,0,0,1.29,23.46,76.55,0.5362,9,2.98,37.5,0,0,1,-0.9659258262890684,0.2588190451025203,0
7,5,0,0,0,2,0.96,37.17,35.25,0.4506,29,1.05,38.85,0,0,1,0.9659258262890683,-0.25881904510252063,0
8,1,0,1,0,0,0.8,114.0,35.1,0.561,23,5.01,41.37,0,0,0,0.8660254037844387,-0.4999999999999998,0
23,2,1,1,1,5,0.54,7.51,92.32,0.289,4,14.63,174.34,0,1,1,-0.25881904510252157,0.9659258262890681,1
14,1,0,0,0,0,4.96,16.98,34.61,0.5623,14,5.63,22.04,0,0,0,-0.4999999999999997,-0.8660254037844388,0
7,6,0,1,1,3,0.42,9.28,108.0,0.1141,2,12.28,576.33,1,0,0,0.9659258262890683,-0.25881904510252063,1
9,5,0,0,0,0,2.78,58.36,73.88,0.5861,11,9.54,1.84,0,0,0,0.7071067811865476,-0.7071067811865475,0
15,1,0,1,0,0,2.3,80.61,45.19,0.4329,29,4.53,26.22,1,0,0,-0.7071067811865471,-0.7071067811865479,0
12,3,0,0,1,0,1.4,63.99,70.04,0.3926,11,2.47,32.42,0,0,1,1.2246467991473532e-16,-1.0,0
16,1,0,0,1,0,2.3,96.15,58.28,0.6138,26,3.32,47.87,0,0,0,-0.8660254037844385,-0.5000000000000004,0
13,1,0,0,0,0,1.75,113.33,55.53,0.6855,3,8.62,24.56,0,0,0,-0.2588190451025208,-0.9659258262890683,0
18,5,0,0,0,0,2.24,12.98,35.52,0.6356,25,9.92,36.66,0,0,0,-1.0,-1.8369701987210297e-16,0
15,4,0,0,0,1,2.69,25.16,48.82,0.6923,5,8.37,38.9,0,0,1,-0.7071067811865471,-0.7071067811865479,0
11,0,0,0,0,0,1.31,111.9,37.28,0.3658,5,8.9,13.27,0,0,1,0.258819045102521,-0.9659258262890682,0
3,3,0,0,0,0,3.3,119.25,78.75,0.3561,28,4.35,15.71,0,0,0,0.7071067811865476,0.7071067811865476,0
7,4,0,1,0,0,3.39,19.13,76.99,0.674,19,1.37,9.58,0,0,1,0.9659258262890683,-0.25881904510252063,0
7,3,0,0,0,2,2.45,98.91,54.1,0.5921,10,7.91,9.6,0,0,0,0.9659258262890683,-0.25881904510252063,0
18,2,0,0,0,0,1.9,32.47,36.79,0.4442,10,9.3,36.02,0,0,1,-1.0,-1.8369701987210297e-16,0
11,1,0,0,0,1,2.08,54.42,46.04,0.4056,21,3.52,20.31,0,0,0,0.258819045102521,-0.9659258262890682,0
12,3,0,0,0,0,1.1,50.48,41.2,0.5371,8,6.3,25.61,0,0,0,1.2246467991473532e-16,-1.0,0
6,3,0,0,0,0,3.81,18.48,53.18,0.3096,8,7.04,41.14,0,0,0,1.0,6.123233995736766e-17,0
16,5,0,0,1,0,0.93,35.44,49.36,0.3536,12,9.13,20.62,0,0,0,-0.8660254037844385,-0.5000000000000004,0
1,4,0,0,1,0,2.46,85.89,65.63,0.4268,30,3.69,26.64,0,0,0,0.25881904510252074,0.9659258262890683,0
18,0,0,1,0,0,2.37,30.4,78.35,0.5385,12,3.08,33.06,0,0,1,-1.0,-1.8369701987210297e-16,0
9,5,0,0,0,1,2.55,35.62,37.87,0.577,9,1.51,6.16,0,0,1,0.7071067811865476,-0.7071067811865475,0
11,0,1,0,0,0,3.32,67.46,74.54,0.43,17,3.92,30.96,0,0,0,0.258819045102521,-0.9659258262890682,0
13,3,0,0,0,0,2.1,61.29,46.83,0.3686,24,8.34,19.23,0,0,1,-0.2588190451025208,-0.9659258262890683,0
11,3,0,0,0,0,4.97,30.35,35.27,0.5058,27,5.17,15.39,0,0,1,0.258819045102521,-0.9659258262890682,0
5,3,0,0,0,1,0.55,27.02,63.09,0.632,7,5.43,13.36,0,0,0,0.9659258262890683,0.25881904510252074,0
16,4,0,0,0,0,2.53,16.78,56.35,0.3531,3,4.12,36.59,0,0,0,-0.8660254037844385,-0.5000000000000004,0
8,1,0,0,0,0,0.86,99.65,41.87,0.6275,28,2.88,39.97,0,0,0,0.8660254037844387,-0.4999999999999998,0
9,1,0,0,0,0,3.8,32.36,79.59,0.5431,16,9.97,35.34,0,0,0,0.7071067811865476,-0.7071067811865475,0
16,1,0,0,0,0,0.99,19.69,71.99,0.5152,9,4.26,20.62,0,0,1,-0.8660254037844385,-0.5000000000000004,0
21,0,0,0,0,1,1.65,113.03,56.76,0.336,16,2.87,27.8,0,0,0,-0.7071067811865477,0.7071067811865474,0
3,4,1,1,1,0,0.32,1.16,51.04,0.2575,1,45.8,163.29,1,1,1,0.7071067811865476,0.7071067811865476,1
4,2,0,0,0,0,4.6,98.3,54.39,0.4294,6,1.11,13.69,0,0,1,0.8660254037844386,0.5000000000000001,0
10,1,0,0,1,0,0.68,80.73,77.09,0.4487,23,9.53,25.06,0,0,0,0.49999999999999994,-0.8660254037844387,0
11,1,0,1,0,0,4.86,54.66,50.2,0.4223,7,2.05,1.1,0,0,0,0.258819045102521,-0.9659258262890682,0
18,0,0,0,0,1,2.39,9.96,54.94,0.4962,18,7.63,6.18,0,0,0,-1.0,-1.8369701987210297e-16,0
17,4,0,0,0,0,1.85,117.78,51.11,0.4165,25,3.27,20.86,0,0,0,-0.9659258262890683,-0.25881904510252063,0
7,0,0,0,0,0,0.51,24.03,44.14,0.3972,18,2.34,42.41,1,0,0,0.9659258262890683,-0.25881904510252063,0
5,6,0,0,0,0,1.45,58.84,46.69,0.5606,19,5.94,3.98,0,0,0,0.9659258262890683,0.25881904510252074,0
12,0,0,0,0,0,4.48,63.16,38.17,0.3954,13,5.64,25.63,0,0,1,1.2246467991473532e-16,-1.0,0
16,4,0,0,0,0,4.79,12.91,60.16,0.668,7,4.46,38.24,0,0,0,-0.8660254037844385,-0.5000000000000004,0
10,5,0,0,0,0,3.39,106.79,33.15,0.4177,25,6.83,26.62,0,0,0,0.49999999999999994,-0.8660254037844387,0
19,4,0,0,0,0,2.41,105.19,65.58,0.6855,23,6.88,16.22,0,0,1,-0.9659258262890684,0.2588190451025203,0
8,5,0,0,0,0,1.08,110.27,63.83,0.6613,7,6.37,43.44,0,0,2,0.8660254037844387,-0.4999999999999998,0
14,6,0,0,0,0,3.16,45.87,49.26,0.6909,6,4.78,33.71,1,0,1,-0.4999999999999997,-0.8660254037844388,0
11,2,1,0,0,0,2.72,8.02,47.16,0.4955,24,8.35,20.8,0,0,1,0.258819045102521,-0.9659258262890682,0
11,6,0,0,0,0,2.2,5.51,49.8,0.6912,11,2.63,4.63,0,0,1,0.258819045102521,-0.9659258262890682,0
9,4,0,0,0,0,4.16,40.91,54.57,0.5014,19,4.13,29.48,1,0,2,0.7071067811865476,-0.7071067811865475,0
4,6,1,1,1,2,0.57,1.44,10.85,0.1067,3,35.21,702.52,1,1,1,0.8660254037844386,0.5000000000000001,1
17,0,0,0,0,0,4.02,76.28,56.22,0.6264,27,6.33,25.2,0,0,0,-0.9659258262890683,-0.25881904510252063,0
8,5,1,1,1,3,0.26,9.51,88.18,0.1558,3,42.07,402.92,1,1,1,0.8660254037844387,-0.4999999999999998,1
8,4,0,0,0,0,0.6,73.05,60.01,0.4651,10,4.24,23.4,0,0,1,0.8660254037844387,-0.4999999999999998,0
15,5,0,0,0,0,0.99,31.0,63.14,0.4927,8,5.92,10.32,0,0,0,-0.7071067811865471,-0.7071067811865479,0
8,2,0,0,0,0,3.82,28.63,71.03,0.6849,25,9.89,39.28,0,0,1,0.8660254037844387,-0.4999999999999998,0
23,0,1,1,1,3,0.65,3.57,40.53,0.1085,3,38.4,589.77,0,1,0,-0.25881904510252157,0.9659258262890681,1
19,6,0,0,1,0,3.41,71.93,69.46,0.6576,5,2.08,46.88,1,0,0,-0.9659258262890684,0.2588190451025203,0
10,0,1,0,0,0,2.2,85.41,36.44,0.6019,20,8.97,29.77,0,0,1,0.49999999999999994,-0.8660254037844387,0
18,0,0,0,0,0,1.82,33.5,77.65,0.4163,8,4.52,14.34,0,0,0,-1.0,-1.8369701987210297e-16,0
14,4,0,0,0,0,4.2,116.74,79.67,0.5564,13,2.68,14.52,0,0,1,-0.4999999999999997,-0.8660254037844388,0
19,1,0,0,0,0,2.58,29.41,51.68,0.54,24,5.81,17.98,0,0,0,-0.9659258262890684,0.2588190451025203,0
20,0,0,0,0,0,4.98,90.18,42.49,0.4319,27,9.63,2.21,0,0,1,-0.8660254037844386,0.5000000000000001,0
14,4,1,1,0,1,4.47,58.87,79.8,0.6881,28,9.83,39.64,0,0,0,-0.4999999999999997,-0.8660254037844388,0
3,4,1,1,1,4,0.98,9.3,22.12,0.254,2,43.0,533.58,1,1,1,0.7071067811865476,0.7071067811865476,1
19,0,0,0,0,0,4.39,47.68,59.05,0.3914,5,9.14,25.34,0,0,0,-0.9659258262890684,0.2588190451025203,0
8,5,0,0,0,0,1.26,50.01,34.17,0.672,20,2.47,46.54,1,0,0,0.8660254037844387,-0.4999999999999998,0
9,1,0,0,1,1,0.81,65.34,52.28,0.4264,15,5.93,7.99,0,0,1,0.7071067811865476,-0.7071067811865475,0
7,6,0,0,0,0,3.3,82.46,52.39,0.5809,26,5.32,37.2,0,0,0,0.9659258262890683,-0.25881904510252063,0
10,0,0,0,0,1,2.7,6.78,52.26,0.3738,30,7.39,8.67,0,0,0,0.49999999999999994,-0.8660254037844387,0
12,4,0,0,0,0,1.83,118.52,56.68,0.3578,13,8.53,2.36,0,0,1,1.2246467991473532e-16,-1.0,0
15,2,0,1,0,0,3.7,27.0,51.02,0.3324,16,3.8,7.43,0,0,0,-0.7071067811865471,-0.7071067811865479,0
8,4,0,0,0,0,4.36,86.05,38.61,0.3443,15,2.29,22.07,0,0,0,0.8660254037844387,-0.4999999999999998,0
17,0,0,0,0,0,1.11,46.78,64.71,0.6298,2,1.83,4.08,1,0,1,-0.9659258262890683,-0.25881904510252063,0
15,2,1,0,1,4,0.82,3.85,77.13,0.2663,5,21.96,339.06,1,1,0,-0.7071067811865471,-0.7071067811865479,1
17,1,0,0,1,0,1.71,87.87,39.74,0.4556,23,5.74,21.87,0,0,0,-0.9659258262890683,-0.25881904510252063,0
6,3,0,0,0,0,2.45,19.18,30.68,0.6796,12,5.35,3.6,0,0,0,1.0,6.123233995736766e-17,0
1,6,0,1,0,0,0.82,11.53,35.74,0.006,4,17.95,717.26,1,1,0,0.25881904510252074,0.9659258262890683,1
16,0,0,0,0,0,3.9,9.91,66.99,0.5006,11,3.39,44.76,0,0,1,-0.8660254037844385,-0.5000000000000004,0
11,0,0,0,0,0,4.79,28.36,71.48,0.456,13,9.05,26.85,0,0,0,0.258819045102521,-0.9659258262890682,0
9,2,0,0,0,0,4.96,69.02,59.84,0.5312,11,3.49,40.56,0,0,1,0.7071067811865476,-0.7071067811865475,0
6,5,0,0,0,0,1.67,76.8,77.77,0.6158,6,8.93,42.8,0,0,1,1.0,6.123233995736766e-17,0
10,5,0,0,1,0,2.79,96.4,58.51,0.465,20,2.14,10.4,0,0,1,0.49999999999999994,-0.8660254037844387,0
1,0,0,0,0,0,4.61,18.36,30.67,0.6177,26,8.24,3.36,0,0,1,0.25881904510252074,0.9659258262890683,0
20,2,1,0,0,0,0.45,12.8,50.7,0.0533,5,15.33,193.55,0,1,1,-0.8660254037844386,0.5000000000000001,1
22,5,0,0,0,0,3.78,66.55,34.75,0.4102,8,8.66,6.98,0,0,0,-0.5000000000000004,0.8660254037844384,0
16,1,1,0,0,0,2.4,84.02,70.28,0.4602,30,2.88,16.01,0,0,2,-0.8660254037844385,-0.5000000000000004,0
21,1,0,0,0,0,2.77,111.23,51.7,0.552,8,3.72,47.96,0,0,2,-0.7071067811865477,0.7071067811865474,0
